time,emotion
2025-11-26 19:28:52,Surprised
2025-11-26 19:28:52,Calm
2025-11-26 19:28:52,Calm
2025-11-26 19:28:53,Angry
2025-11-26 19:28:53,Calm
2025-11-26 19:28:53,Angry
2025-11-26 19:28:54,Calm
2025-11-26 19:28:54,Calm
2025-11-26 19:28:54,Calm
2025-11-26 19:28:55,Calm
2025-11-26 19:28:55,Surprised
2025-11-26 19:28:55,Surprised
2025-11-26 19:28:56,Surprised
2025-11-26 19:28:56,Surprised
2025-11-26 19:28:56,Calm
2025-11-26 19:28:57,Calm
2025-11-26 19:28:57,Calm
2025-11-26 19:28:58,Calm
2025-11-26 19:28:58,Calm
2025-11-26 19:28:58,Happy
2025-11-26 19:28:59,Happy
2025-11-26 19:28:59,Calm
2025-11-26 19:28:59,Calm
2025-11-26 19:29:00,Calm
2025-11-26 19:29:00,Calm
2025-11-26 19:29:00,Calm
2025-11-26 19:29:01,Calm
2025-11-26 19:29:01,Calm
2025-11-26 19:29:01,Calm
2025-11-26 19:29:02,Calm
2025-11-26 19:29:02,Calm
2025-11-26 19:29:02,Calm
2025-11-26 19:29:03,Calm
2025-11-26 19:29:03,Surprised
2025-11-26 19:29:03,Surprised
2025-11-26 19:29:04,Surprised
2025-11-26 19:29:04,Happy
2025-11-26 19:29:05,Happy
2025-11-26 19:29:05,Happy
2025-11-26 19:29:05,Happy
2025-11-26 19:29:06,Happy
2025-11-26 19:29:06,Happy
2025-11-26 19:29:06,Happy
2025-11-26 19:29:07,Happy
2025-11-26 19:29:07,Angry
2025-11-26 19:29:07,Angry
2025-11-26 19:29:08,Angry
2025-11-26 19:29:08,Angry
2025-11-26 19:29:08,Angry
2025-11-26 19:29:09,Angry
2025-11-26 19:29:09,Angry
2025-11-26 19:29:09,Angry
2025-11-26 19:29:10,Angry
2025-11-26 19:29:10,Angry
2025-11-26 19:29:11,Angry
2025-11-26 19:29:11,Scared
2025-11-26 19:29:11,Surprised
2025-11-26 19:29:12,Scared
2025-11-26 19:29:12,Surprised
2025-11-26 19:29:12,Surprised
2025-11-26 19:29:13,Scared
2025-11-26 19:29:13,Surprised
2025-11-26 19:29:13,Surprised
2025-11-26 19:29:14,Surprised
2025-11-26 19:29:14,Surprised
2025-11-26 19:29:14,Surprised
2025-11-26 19:29:15,Calm
2025-11-26 19:29:15,Surprised
2025-11-26 19:29:15,Calm
2025-11-26 19:29:16,Calm
2025-11-26 19:29:16,Calm
2025-11-26 19:29:16,Surprised
2025-11-26 19:29:17,Calm
2025-11-26 19:29:17,Surprised
2025-11-26 19:29:17,Surprised
2025-11-26 19:29:18,Surprised
2025-11-26 19:29:18,Happy
2025-11-26 19:29:18,Happy
2025-11-26 19:29:19,Happy
2025-11-26 19:29:19,Happy
2025-11-26 19:29:19,Happy
2025-11-26 19:29:20,Happy
2025-11-26 19:29:20,Happy
2025-11-26 19:29:20,Happy
2025-11-26 19:29:21,Angry
2025-11-26 19:29:21,Angry
2025-11-26 19:29:22,Angry
2025-11-26 19:29:22,Angry
2025-11-26 19:29:22,Angry
2025-11-26 19:29:23,Calm
2025-11-26 19:29:23,Calm
2025-11-26 19:29:23,Calm
2025-11-26 19:29:24,Calm
2025-11-26 19:29:24,Calm
2025-11-26 19:29:24,Calm
2025-11-26 19:29:25,Calm
2025-11-26 19:29:25,Calm
2025-11-26 19:29:25,Happy
2025-11-26 19:29:26,Calm
2025-11-26 19:29:26,Calm
2025-11-26 19:29:26,Sad
2025-11-26 19:29:27,Calm
2025-11-26 19:29:27,Calm
2025-11-26 19:29:27,Calm
2025-11-26 19:29:27,Calm
2025-11-26 19:29:28,Calm
2025-11-26 19:29:28,Calm
2025-11-26 19:29:28,Surprised
2025-11-26 19:29:29,Surprised
2025-11-26 19:29:29,Surprised
2025-11-26 19:29:29,Surprised
2025-11-26 19:29:30,Surprised
2025-11-26 19:29:30,Surprised
2025-11-26 19:29:31,Calm
2025-11-26 19:29:31,Calm
2025-11-26 19:29:31,Calm
2025-11-26 19:29:32,Calm
2025-11-26 19:29:32,Calm
2025-11-26 19:29:32,Calm
2025-11-26 19:29:33,Calm
2025-11-26 19:29:33,Calm
2025-11-26 19:29:33,Calm
2025-11-26 19:29:34,Calm
2025-11-26 19:29:34,Calm
2025-11-26 19:29:34,Calm
2025-11-26 19:29:35,Calm
2025-11-26 19:29:35,Calm
2025-11-26 19:29:35,Calm
2025-11-26 19:29:36,Calm
2025-11-26 19:29:36,Calm
2025-11-26 19:29:36,Calm
2025-11-26 19:29:37,Calm
2025-11-26 19:29:37,Calm
2025-11-26 19:29:37,Calm
2025-11-26 19:29:38,Calm
2025-11-26 19:29:38,Calm
2025-11-26 19:29:38,Calm
2025-11-26 19:29:39,Calm
2025-11-26 19:29:39,Calm
2025-11-26 19:29:39,Calm
2025-11-26 19:29:40,Calm
2025-11-26 19:29:40,Calm
2025-11-26 19:29:40,Calm
2025-11-26 19:29:41,Calm
2025-11-26 19:29:41,Calm
2025-11-26 19:29:42,Calm
2025-11-26 19:29:42,Happy
2025-11-26 19:29:42,Happy
2025-11-26 19:29:43,Happy
2025-11-26 19:29:43,Calm
2025-11-26 19:29:43,Calm
2025-11-26 19:29:44,Calm
2025-11-26 19:29:44,Calm
2025-11-26 19:29:44,Calm
2025-11-26 19:29:45,Calm
2025-11-26 19:29:45,Calm
2025-11-26 19:29:45,Calm
2025-11-26 19:29:46,Calm
2025-11-26 19:29:46,Calm
2025-11-26 19:29:46,Calm
2025-11-26 19:29:47,Calm
2025-11-26 19:29:47,Calm
